LoanID,CustomerID,Product,Region,LoanAmount,TermMonths,InterestRate,ApplicationDate,ApprovalDate,ApprovalDays,LoanStatus,RiskBand,OutstandingBalance
L0000148,C000214,Personal Loan,South East,18500,48,15.9,2025-03-05,2025-03-09,4,Closed,Low,0
L0000149,C000215,Personal Loan,South East,20500,36,18.9,2025-03-24,2025-03-30,6,Active,Low,18647.14
L0000150,C000216,Home Improvement,North West,14000,12,9.9,2025-02-12,2025-02-16,4,Active,Low,11778.64
L0000151,C000218,Personal Loan,London,2000,12,18.9,2025-04-20,2025-04-25,5,Active,Medium,803.72
L0000152,C000219,Personal Loan,North West,10000,48,9.9,2025-05-26,2025-05-31,5,Active,High,8806.41
L0000153,C000220,Home Improvement,South East,15000,24,7.9,2026-04-22,2026-04-26,4,Active,Low,11088.28
L0000154,C000222,Home Improvement,North West,20500,48,12.9,2025-06-28,2025-07-03,5,Active,Low,16130.84
L0000155,C000223,Home Improvement,Scotland,25500,24,12.9,2025-06-18,2025-06-21,3,Closed,Low,0
L0000156,C000224,Home Improvement,North West,15500,36,15.9,2025-05-02,2025-05-07,5,Active,Medium,6739.88
L0000157,C000225,Debt Consolidation,North West,11500,60,15.9,2025-11-27,2025-12-02,5,Active,Low,7389.28
L0000158,C000227,Debt Consolidation,Scotland,26500,48,7.9,2025-06-30,2025-07-07,7,Active,Low,11454.85
L0000159,C000228,Debt Consolidation,Wales,4500,36,12.9,2025-03-08,2025-03-11,3,Active,High,1126.98
L0000160,C000229,Personal Loan,Midlands,2000,36,7.9,2026-02-05,2026-02-10,5,Active,Medium,487.17
L0000161,C000230,Car Finance,South East,14500,48,18.9,2026-01-18,2026-01-23,5,Delinquent,Medium,9575.27
L0000162,C000231,Home Improvement,London,17000,36,7.9,2025-05-21,2025-05-25,4,Closed,Medium,0
L0000163,C000232,Home Improvement,South West,13500,24,15.9,2026-05-24,2026-05-28,4,Active,Low,3664.74
L0000164,C000233,Home Improvement,Midlands,9000,24,18.9,2025-09-04,2025-09-09,5,Approved,Medium,8281.05
L0000165,C000234,Car Finance,Wales,16000,24,9.9,2026-01-31,2026-02-05,5,Closed,Low,0
L0000166,C000235,Personal Loan,South West,2500,60,9.9,2026-04-26,2026-05-01,5,Approved,Low,1313.41
L0000167,C000237,Home Improvement,Scotland,4500,24,7.9,2025-08-23,2025-08-26,3,Active,Medium,2367.33
L0000168,C000238,Home Improvement,South East,19000,12,15.9,2025-07-03,2025-07-07,4,Active,Low,14255.0
L0000169,C000239,Car Finance,Scotland,24500,12,9.9,2025-06-29,2025-07-05,6,Active,Low,6438.61
L0000170,C000240,Debt Consolidation,South West,26000,12,9.9,2025-07-23,2025-07-30,7,Active,Medium,13609.71
L0000171,C000242,Car Finance,North West,3500,12,18.9,2025-10-04,2025-10-09,5,Active,Low,1495.39
L0000172,C000243,Home Improvement,North West,6500,24,7.9,2025-05-28,2025-06-04,7,Approved,Medium,3102.78
L0000173,C000244,Car Finance,South East,9000,48,9.9,2025-03-09,2025-03-16,7,Active,Medium,7413.32
L0000174,C000245,Home Improvement,Scotland,17500,48,7.9,2025-11-04,2025-11-08,4,Delinquent,Low,14269.31
L0000175,C000246,Home Improvement,South West,27000,24,7.9,2025-04-05,2025-04-11,6,Active,Low,19260.56
L0000176,C000247,Home Improvement,Wales,27500,48,12.9,2026-04-30,2026-05-05,5,Delinquent,Medium,10827.64
L0000177,C000248,Home Improvement,Midlands,13500,24,15.9,2025-02-04,2025-02-09,5,Active,High,6390.01
L0000178,C000249,Home Improvement,North West,15500,12,15.9,2025-07-21,2025-07-26,5,Delinquent,Low,9256.56
L0000179,C000250,Personal Loan,Wales,28000,24,18.9,2025-02-09,2025-02-14,5,Active,Medium,9354.65
L0000180,C000251,Home Improvement,South West,25500,36,9.9,2025-05-13,2025-05-19,6,Approved,Low,12620.66
L0000181,C000252,Debt Consolidation,South West,17000,60,12.9,2025-05-06,2025-05-11,5,Active,Low,8023.0
L0000182,C000253,Home Improvement,Scotland,3000,12,15.9,2025-07-23,2025-07-26,3,Active,Medium,492.63
L0000183,C000255,Home Improvement,Wales,3500,36,9.9,2025-04-20,2025-04-24,4,Defaulted,Low,1512.53
L0000184,C000256,Car Finance,Wales,26000,12,12.9,2026-02-18,2026-02-20,2,Delinquent,Low,5906.24
L0000185,C000257,Debt Consolidation,North West,22000,12,15.9,2025-04-17,2025-04-22,5,Active,High,21370.95
L0000186,C000258,Debt Consolidation,London,14500,60,9.9,2025-04-28,2025-05-05,7,Closed,Low,0
L0000187,C000259,Home Improvement,Wales,29500,36,12.9,2025-05-07,2025-05-13,6,Active,Medium,15281.94
L0000188,C000260,Personal Loan,Wales,26500,12,15.9,2026-03-13,2026-03-18,5,Closed,Low,0
L0000189,C000261,Personal Loan,South East,10500,60,12.9,2025-04-12,2025-04-17,5,Active,Low,3677.28
L0000190,C000262,Debt Consolidation,Wales,5000,48,15.9,2026-01-01,2026-01-06,5,Approved,High,2097.57
L0000191,C000263,Car Finance,London,19000,24,7.9,2025-10-11,2025-10-18,7,Defaulted,High,16845.37
L0000192,C000264,Debt Consolidation,Scotland,21500,24,7.9,2025-08-20,2025-08-24,4,Active,High,9767.73
L0000193,C000265,Debt Consolidation,South East,15500,24,18.9,2026-04-05,2026-04-11,6,Active,Low,14240.73
L0000194,C000266,Personal Loan,South West,19000,24,9.9,2025-07-04,2025-07-07,3,Active,Low,10867.72
L0000195,C000268,Personal Loan,Scotland,29000,36,7.9,2025-10-10,2025-10-15,5,Active,Low,25119.66
L0000196,C000269,Home Improvement,North West,2500,12,18.9,2026-04-24,2026-04-29,5,Active,High,2213.02
L0000197,C000270,Home Improvement,South West,15000,24,9.9,2025-02-24,2025-02-26,2,Active,Low,12042.21
L0000198,C000271,Personal Loan,London,14500,36,9.9,2025-03-07,2025-03-14,7,Active,Medium,3877.96
L0000199,C000273,Home Improvement,South West,5000,36,12.9,2025-08-08,2025-08-16,8,Closed,Low,0
L0000200,C000274,Debt Consolidation,South East,2500,24,7.9,2026-06-02,2026-06-09,7,Active,Low,2098.11
L0000201,C000276,Car Finance,North West,9500,60,7.9,2025-07-23,2025-07-27,4,Active,Low,6503.16
L0000202,C000277,Personal Loan,Midlands,6000,12,7.9,2025-12-21,2025-12-25,4,Active,Medium,4926.4
L0000203,C000278,Car Finance,South West,25500,12,12.9,2026-02-22,2026-02-25,3,Active,Low,23626.81
L0000204,C000280,Personal Loan,North West,11000,12,7.9,2025-09-28,2025-10-01,3,Active,High,8897.5
L0000205,C000281,Debt Consolidation,North West,18000,36,18.9,2025-02-18,2025-02-22,4,Active,Low,16668.33
L0000206,C000283,Personal Loan,South East,26500,48,15.9,2025-05-25,2025-05-30,5,Active,Low,12944.98
L0000207,C000292,Debt Consolidation,Scotland,24000,60,18.9,2025-05-26,2025-05-31,5,Closed,Medium,0
L0000208,C000293,Personal Loan,London,29000,60,12.9,2025-11-15,2025-11-20,5,Approved,Low,24921.11
L0000209,C000296,Personal Loan,North West,14000,60,7.9,2025-03-09,2025-03-13,4,Active,Medium,12068.06
L0000210,C000297,Car Finance,South West,13000,24,9.9,2025-11-18,2025-11-22,4,Active,High,3123.02
L0000211,C000298,Home Improvement,Scotland,11500,36,18.9,2025-10-31,2025-11-09,9,Closed,High,0
L0000212,C000300,Debt Consolidation,Wales,6500,48,15.9,2025-04-21,2025-04-27,6,Approved,Medium,5912.35
L0000213,C000301,Personal Loan,South West,29500,48,9.9,2026-02-17,2026-02-23,6,Closed,High,0
L0000214,C000303,Personal Loan,Scotland,5000,36,15.9,2026-04-04,2026-04-08,4,Active,Low,2919.78
L0000215,C000304,Debt Consolidation,South West,7000,24,7.9,2025-01-17,2025-01-24,7,Delinquent,Medium,4898.04
L0000216,C000305,Car Finance,London,4500,36,9.9,2026-03-28,2026-03-31,3,Active,Medium,2346.71
L0000217,C000306,Car Finance,Scotland,24000,36,7.9,2025-02-23,2025-02-26,3,Closed,High,0
L0000218,C000308,Home Improvement,South East,12500,48,9.9,2025-04-16,2025-04-18,2,Active,Medium,3810.99
L0000219,C000309,Home Improvement,Midlands,8000,60,12.9,2025-02-18,2025-02-22,4,Active,High,2595.63
L0000220,C000310,Personal Loan,South East,21500,36,9.9,2025-01-17,2025-01-21,4,Closed,Low,0
L0000221,C000311,Car Finance,Scotland,14500,24,9.9,2025-12-23,2025-12-30,7,Delinquent,Low,7182.56
L0000222,C000315,Debt Consolidation,South East,12000,36,15.9,2025-01-06,2025-01-10,4,Active,Low,8108.84
L0000223,C000316,Personal Loan,South West,15500,48,15.9,2025-08-16,2025-08-21,5,Active,Low,3994.06
L0000224,C000317,Personal Loan,South West,26500,48,15.9,2025-06-19,2025-06-23,4,Active,High,18605.13
L0000225,C000318,Debt Consolidation,London,5500,48,9.9,2026-03-27,2026-04-03,7,Active,Low,5051.25
L0000226,C000319,Debt Consolidation,Scotland,12000,36,9.9,2025-06-20,2025-06-26,6,Closed,Low,0
L0000227,C000320,Car Finance,South East,21500,12,9.9,2026-05-26,2026-06-02,7,Closed,Low,0
L0000228,C000323,Home Improvement,Wales,6500,12,7.9,2025-05-14,2025-05-18,4,Active,Low,3117.53
L0000229,C000326,Personal Loan,Wales,7500,24,18.9,2026-01-01,2026-01-05,4,Closed,Low,0
L0000230,C000327,Debt Consolidation,South East,3500,24,9.9,2026-02-12,2026-02-17,5,Active,Medium,868.02
L0000231,C000328,Personal Loan,North West,23000,24,15.9,2025-01-14,2025-01-18,4,Active,Low,6306.47
L0000232,C000329,Personal Loan,Midlands,13000,48,7.9,2026-01-11,2026-01-14,3,Closed,Medium,0
L0000233,C000330,Home Improvement,Midlands,15500,48,18.9,2025-03-29,2025-04-04,6,Active,Low,9156.92
L0000234,C000331,Debt Consolidation,London,13500,36,15.9,2025-12-23,2025-12-28,5,Closed,Low,0
L0000235,C000332,Personal Loan,London,5000,24,18.9,2026-04-04,2026-04-11,7,Defaulted,Low,2673.34
L0000236,C000333,Home Improvement,Midlands,2500,12,18.9,2025-07-21,2025-07-26,5,Active,High,1478.26
L0000237,C000334,Personal Loan,London,3500,36,15.9,2025-02-02,2025-02-06,4,Delinquent,Low,2718.55
L0000238,C000338,Car Finance,North West,22000,24,7.9,2026-05-20,2026-05-25,5,Active,Low,15810.94
L0000239,C000340,Personal Loan,Midlands,16500,12,18.9,2025-08-08,2025-08-10,2,Closed,Medium,0
L0000240,C000341,Car Finance,South West,18500,60,9.9,2025-12-31,2026-01-06,6,Active,High,17708.03
L0000241,C000342,Home Improvement,London,23000,12,12.9,2026-05-04,2026-05-10,6,Closed,Low,0
L0000242,C000343,Personal Loan,South West,18000,36,9.9,2026-04-09,2026-04-14,5,Active,Low,4985.06
L0000243,C000344,Home Improvement,Midlands,14500,36,7.9,2025-04-07,2025-04-13,6,Delinquent,High,8139.45
L0000244,C000345,Car Finance,London,19000,60,7.9,2025-02-12,2025-02-16,4,Closed,Low,0
L0000245,C000346,Home Improvement,Wales,11500,60,15.9,2026-03-27,2026-03-30,3,Closed,Low,0
L0000246,C000347,Personal Loan,North West,9500,48,7.9,2026-01-05,2026-01-09,4,Active,Medium,5166.28
