VerificationID,LoanID,CustomerID,KYCStatus,VerificationDate,DocumentType,VerificationMethod
V0000031,L0000031,C000043,Manual Review,2025-11-03,BRP,Email
V0000032,L0000032,C000044,Verified,2025-04-05,Utility Bill,API
V0000033,L0000033,C000045,Verified,2026-01-01,Driving Licence,Manual
V0000034,L0000034,C000046,Verified,2025-11-13,Driving Licence,Email
V0000035,L0000035,C000047,Verified,2025-11-20,Passport,Email
V0000036,L0000036,C000048,Verified,2025-12-18,Passport,Email
V0000037,L0000037,C000049,Manual Review,2025-07-02,BRP,Email
V0000038,L0000038,C000050,Verified,2025-06-20,Driving Licence,Manual
V0000039,L0000039,C000052,Verified,2025-07-02,Utility Bill,Email
V0000040,L0000040,C000053,Verified,2025-02-04,Passport,Manual
V0000041,L0000041,C000054,Verified,2025-04-13,BRP,API
V0000042,L0000042,C000055,Verified,2025-05-14,Utility Bill,Manual
V0000043,L0000043,C000056,Manual Review,2025-01-31,Driving Licence,API
V0000044,L0000044,C000058,Verified,2025-07-24,Utility Bill,Manual
V0000045,L0000045,C000061,Verified,2026-02-01,Utility Bill,Manual
V0000046,L0000046,C000062,Verified,2026-04-11,BRP,API
V0000047,L0000047,C000063,Verified,2025-06-02,Driving Licence,Email
V0000048,L0000048,C000064,Manual Review,2026-06-03,BRP,Manual
V0000049,L0000049,C000065,Verified,2025-09-30,Driving Licence,API
V0000050,L0000050,C000066,Manual Review,2026-03-22,Driving Licence,API
V0000051,L0000051,C000067,Verified,2025-10-22,Driving Licence,Email
V0000052,L0000052,C000069,Failed,2026-05-16,BRP,API
V0000053,L0000053,C000071,Verified,2025-07-01,Driving Licence,Email
V0000054,L0000054,C000072,Verified,2026-04-11,Passport,Manual
V0000055,L0000055,C000073,Verified,2025-11-29,Utility Bill,Email
V0000056,L0000056,C000074,Verified,2026-02-26,BRP,Email
V0000057,L0000057,C000075,Verified,2025-02-24,Driving Licence,Email
V0000058,L0000058,C000077,Verified,2026-03-28,BRP,API
V0000059,L0000059,C000079,Verified,2025-01-10,Driving Licence,Email
V0000060,L0000060,C000080,Verified,2026-05-04,Passport,API
V0000061,L0000061,C000081,Verified,2025-04-11,Utility Bill,API
V0000062,L0000062,C000083,Failed,2025-09-15,BRP,Email
V0000063,L0000063,C000086,Verified,2025-02-26,Utility Bill,Manual
V0000064,L0000064,C000089,Verified,2026-02-13,BRP,Manual
V0000065,L0000065,C000090,Verified,2026-01-29,Utility Bill,API
V0000066,L0000066,C000091,Verified,2025-09-24,Driving Licence,Email
V0000067,L0000067,C000092,Verified,2026-04-19,Driving Licence,Email
V0000068,L0000068,C000093,Verified,2025-04-26,Utility Bill,Manual
V0000069,L0000069,C000094,Failed,2025-12-19,Utility Bill,Email
V0000070,L0000070,C000096,Verified,2026-02-23,Utility Bill,Email
V0000071,L0000071,C000098,Verified,2025-06-20,Driving Licence,API
V0000072,L0000072,C000099,Verified,2026-01-25,Utility Bill,Manual
V0000073,L0000073,C000100,Verified,2025-08-05,Utility Bill,API
V0000074,L0000074,C000101,Manual Review,2026-04-10,Utility Bill,API
V0000075,L0000075,C000105,Manual Review,2026-05-18,Utility Bill,Manual
V0000076,L0000076,C000106,Verified,2025-11-27,Driving Licence,Manual
V0000077,L0000077,C000107,Verified,2025-06-17,Passport,Email
V0000078,L0000078,C000110,Verified,2025-01-16,Driving Licence,Manual
V0000079,L0000079,C000115,Verified,2026-04-11,Passport,API
V0000080,L0000080,C000116,Verified,2025-08-30,Utility Bill,API
V0000081,L0000081,C000119,Verified,2025-09-17,Utility Bill,API
V0000082,L0000082,C000120,Verified,2025-01-16,Driving Licence,Email
V0000083,L0000083,C000122,Verified,2025-02-24,Utility Bill,Manual
V0000084,L0000084,C000123,Verified,2026-01-10,Utility Bill,Manual
V0000085,L0000085,C000124,Verified,2025-03-02,Passport,API
V0000086,L0000086,C000126,Manual Review,2025-01-19,Utility Bill,Email
V0000087,L0000087,C000129,Verified,2026-01-20,Passport,Manual
V0000088,L0000088,C000131,Verified,2025-06-10,BRP,Manual
V0000089,L0000089,C000132,Verified,2025-07-10,Driving Licence,Email
V0000090,L0000090,C000133,Verified,2025-04-03,BRP,Manual
V0000091,L0000091,C000134,Manual Review,2026-04-30,Driving Licence,Manual
V0000092,L0000092,C000135,Verified,2026-03-08,Driving Licence,Email
V0000093,L0000093,C000136,Verified,2026-03-13,Utility Bill,Manual
V0000094,L0000094,C000137,Verified,2025-12-13,Driving Licence,Manual
V0000095,L0000095,C000139,Manual Review,2025-11-07,Passport,API
V0000096,L0000096,C000140,Verified,2025-11-30,Utility Bill,Manual
V0000097,L0000097,C000141,Verified,2026-04-25,Utility Bill,API
V0000098,L0000098,C000143,Verified,2026-04-22,Utility Bill,Email
V0000099,L0000099,C000144,Manual Review,2025-09-13,Utility Bill,Manual
V0000100,L0000100,C000145,Verified,2026-03-27,BRP,Manual
V0000101,L0000101,C000146,Verified,2025-02-08,BRP,Email
V0000102,L0000102,C000147,Verified,2026-05-12,Driving Licence,API
V0000103,L0000103,C000149,Verified,2025-10-05,BRP,API
V0000104,L0000104,C000151,Failed,2026-03-31,Utility Bill,Email
V0000105,L0000105,C000153,Manual Review,2025-11-24,BRP,API
V0000106,L0000106,C000155,Verified,2026-02-23,BRP,Email
V0000107,L0000107,C000156,Verified,2026-05-01,BRP,Email
V0000108,L0000108,C000158,Verified,2025-11-19,BRP,Manual
V0000109,L0000109,C000159,Failed,2025-02-02,BRP,Email
V0000110,L0000110,C000160,Verified,2025-06-01,Driving Licence,Manual
V0000111,L0000111,C000161,Verified,2025-04-04,Passport,Manual
V0000112,L0000112,C000162,Verified,2025-05-25,Utility Bill,API
V0000113,L0000113,C000163,Failed,2026-01-22,Utility Bill,Manual
V0000114,L0000114,C000164,Verified,2025-08-22,Driving Licence,API
V0000115,L0000115,C000165,Verified,2026-05-12,Utility Bill,API
V0000116,L0000116,C000166,Verified,2025-06-07,BRP,Manual
V0000117,L0000117,C000169,Verified,2025-05-20,Passport,Manual
V0000118,L0000118,C000171,Verified,2026-02-16,Passport,Email
V0000119,L0000119,C000172,Manual Review,2025-06-23,Utility Bill,Manual
V0000120,L0000120,C000174,Verified,2025-04-14,Utility Bill,Email
V0000121,L0000121,C000175,Verified,2025-01-28,Driving Licence,Email
V0000122,L0000122,C000177,Verified,2025-11-10,Driving Licence,Email
V0000123,L0000123,C000178,Verified,2025-12-29,Driving Licence,API
V0000124,L0000124,C000180,Verified,2025-07-11,Driving Licence,Manual
V0000125,L0000125,C000181,Verified,2025-10-05,Passport,Manual
V0000126,L0000126,C000183,Failed,2025-03-07,BRP,API
V0000127,L0000127,C000185,Verified,2025-03-04,Driving Licence,API
V0000128,L0000128,C000186,Verified,2026-04-02,Passport,Manual
V0000129,L0000129,C000188,Manual Review,2026-02-09,Utility Bill,Manual
V0000130,L0000130,C000190,Verified,2025-02-19,BRP,Email
V0000131,L0000131,C000192,Verified,2025-07-02,Driving Licence,API
V0000132,L0000132,C000193,Verified,2025-03-13,BRP,API
V0000133,L0000133,C000194,Verified,2025-01-18,Utility Bill,Email
V0000134,L0000134,C000195,Verified,2026-04-07,BRP,Manual
V0000135,L0000135,C000196,Verified,2025-09-10,Driving Licence,Email
V0000136,L0000136,C000197,Verified,2025-06-26,BRP,Manual
V0000137,L0000137,C000199,Verified,2025-07-01,Utility Bill,API
V0000138,L0000138,C000200,Verified,2025-11-06,Passport,Manual
V0000139,L0000139,C000201,Verified,2026-03-12,Passport,Email
V0000140,L0000140,C000202,Verified,2025-03-25,BRP,Manual
V0000141,L0000141,C000203,Verified,2025-11-27,Driving Licence,Manual
V0000142,L0000142,C000204,Verified,2026-05-17,Utility Bill,Manual
V0000143,L0000143,C000206,Verified,2025-04-19,Driving Licence,Email
V0000144,L0000144,C000207,Verified,2026-04-30,Driving Licence,Email
V0000145,L0000145,C000210,Verified,2026-04-08,Passport,Manual
V0000146,L0000146,C000212,Verified,2025-09-25,Utility Bill,Email
V0000147,L0000147,C000213,Manual Review,2025-07-02,BRP,Manual
V0000148,L0000148,C000214,Verified,2025-03-06,BRP,API
V0000149,L0000149,C000215,Verified,2025-03-25,Driving Licence,Email
V0000150,L0000150,C000216,Verified,2025-02-14,Driving Licence,Manual
V0000151,L0000151,C000218,Verified,2025-04-22,BRP,API
V0000152,L0000152,C000219,Manual Review,2025-05-26,Passport,API
V0000153,L0000153,C000220,Verified,2026-04-22,Driving Licence,API
V0000154,L0000154,C000222,Verified,2025-06-30,Utility Bill,Email
V0000155,L0000155,C000223,Verified,2025-06-19,Utility Bill,API
V0000156,L0000156,C000224,Verified,2025-05-03,Utility Bill,Email
V0000157,L0000157,C000225,Verified,2025-11-27,Utility Bill,API
V0000158,L0000158,C000227,Verified,2025-07-01,BRP,Email
V0000159,L0000159,C000228,Verified,2025-03-10,BRP,Email
V0000160,L0000160,C000229,Verified,2026-02-07,Passport,Manual
V0000161,L0000161,C000230,Verified,2026-01-19,BRP,API
V0000162,L0000162,C000231,Verified,2025-05-23,Passport,Manual
V0000163,L0000163,C000232,Verified,2026-05-25,Passport,Manual
V0000164,L0000164,C000233,Verified,2025-09-04,BRP,API
V0000165,L0000165,C000234,Verified,2026-02-01,Utility Bill,API
V0000166,L0000166,C000235,Verified,2026-04-27,Driving Licence,Manual
V0000167,L0000167,C000237,Verified,2025-08-24,Driving Licence,API
V0000168,L0000168,C000238,Verified,2025-07-03,BRP,API
V0000169,L0000169,C000239,Verified,2025-07-01,Utility Bill,Email
V0000170,L0000170,C000240,Verified,2025-07-25,BRP,Email
V0000171,L0000171,C000242,Verified,2025-10-05,Driving Licence,Manual
V0000172,L0000172,C000243,Verified,2025-05-29,Passport,API
V0000173,L0000173,C000244,Verified,2025-03-11,Driving Licence,Manual
V0000174,L0000174,C000245,Verified,2025-11-04,BRP,API
V0000175,L0000175,C000246,Manual Review,2025-04-07,Driving Licence,Email
V0000176,L0000176,C000247,Verified,2026-05-01,Utility Bill,API
V0000177,L0000177,C000248,Verified,2025-02-05,Utility Bill,Email
V0000178,L0000178,C000249,Verified,2025-07-21,Driving Licence,Manual
V0000179,L0000179,C000250,Manual Review,2025-02-09,Utility Bill,API
V0000180,L0000180,C000251,Manual Review,2025-05-13,BRP,Manual
V0000181,L0000181,C000252,Verified,2025-05-07,Passport,Email
V0000182,L0000182,C000253,Verified,2025-07-24,Driving Licence,Manual
V0000183,L0000183,C000255,Verified,2025-04-20,Driving Licence,API
V0000184,L0000184,C000256,Verified,2026-02-20,Passport,API
V0000185,L0000185,C000257,Verified,2025-04-19,Driving Licence,Email
V0000186,L0000186,C000258,Verified,2025-04-30,Passport,Email
V0000187,L0000187,C000259,Verified,2025-05-09,BRP,API
V0000188,L0000188,C000260,Verified,2026-03-14,Driving Licence,Email
V0000189,L0000189,C000261,Verified,2025-04-12,BRP,Email
V0000190,L0000190,C000262,Manual Review,2026-01-02,Utility Bill,API
V0000191,L0000191,C000263,Verified,2025-10-13,BRP,Email
V0000192,L0000192,C000264,Verified,2025-08-21,Utility Bill,API
V0000193,L0000193,C000265,Verified,2026-04-05,BRP,Manual
V0000194,L0000194,C000266,Verified,2025-07-04,BRP,Email
V0000195,L0000195,C000268,Verified,2025-10-10,Driving Licence,API
V0000196,L0000196,C000269,Verified,2026-04-26,Driving Licence,API
V0000197,L0000197,C000270,Verified,2025-02-26,BRP,API
V0000198,L0000198,C000271,Verified,2025-03-09,Driving Licence,Email
V0000199,L0000199,C000273,Manual Review,2025-08-10,Utility Bill,API
V0000200,L0000200,C000274,Verified,2026-06-04,BRP,Manual
V0000201,L0000201,C000276,Failed,2025-07-23,Utility Bill,API
V0000202,L0000202,C000277,Manual Review,2025-12-23,Driving Licence,API
V0000203,L0000203,C000278,Verified,2026-02-24,Passport,Email
V0000204,L0000204,C000280,Failed,2025-09-28,Driving Licence,Manual
V0000205,L0000205,C000281,Verified,2025-02-19,Driving Licence,Email
V0000206,L0000206,C000283,Verified,2025-05-27,Utility Bill,API
V0000207,L0000207,C000292,Verified,2025-05-27,BRP,Manual
V0000208,L0000208,C000293,Manual Review,2025-11-15,Utility Bill,API
V0000209,L0000209,C000296,Verified,2025-03-10,Utility Bill,API
V0000210,L0000210,C000297,Verified,2025-11-18,Utility Bill,API
V0000211,L0000211,C000298,Verified,2025-11-01,Driving Licence,Email
V0000212,L0000212,C000300,Verified,2025-04-21,Passport,Manual
V0000213,L0000213,C000301,Verified,2026-02-17,Utility Bill,Email
V0000214,L0000214,C000303,Verified,2026-04-04,Passport,Email
V0000215,L0000215,C000304,Verified,2025-01-19,Driving Licence,Email
V0000216,L0000216,C000305,Verified,2026-03-30,BRP,API
V0000217,L0000217,C000306,Verified,2025-02-25,Driving Licence,Email
V0000218,L0000218,C000308,Verified,2025-04-18,Utility Bill,API
V0000219,L0000219,C000309,Verified,2025-02-19,Driving Licence,Manual
V0000220,L0000220,C000310,Verified,2025-01-17,Passport,Manual
V0000221,L0000221,C000311,Failed,2025-12-25,Utility Bill,Manual
V0000222,L0000222,C000315,Verified,2025-01-08,BRP,Email
V0000223,L0000223,C000316,Manual Review,2025-08-18,BRP,Manual
V0000224,L0000224,C000317,Verified,2025-06-19,Driving Licence,Manual
V0000225,L0000225,C000318,Verified,2026-03-27,Passport,Manual
V0000226,L0000226,C000319,Verified,2025-06-21,Driving Licence,Manual
V0000227,L0000227,C000320,Verified,2026-05-28,BRP,Manual
V0000228,L0000228,C000323,Verified,2025-05-14,BRP,API
V0000229,L0000229,C000326,Verified,2026-01-02,Driving Licence,API
V0000230,L0000230,C000327,Verified,2026-02-14,Utility Bill,Manual
V0000231,L0000231,C000328,Verified,2025-01-14,Passport,API
V0000232,L0000232,C000329,Verified,2026-01-11,Driving Licence,API
V0000233,L0000233,C000330,Manual Review,2025-03-29,Driving Licence,Manual
V0000234,L0000234,C000331,Verified,2025-12-23,BRP,Manual
V0000235,L0000235,C000332,Verified,2026-04-04,Utility Bill,Manual
V0000236,L0000236,C000333,Verified,2025-07-22,Utility Bill,Manual
V0000237,L0000237,C000334,Verified,2025-02-02,Utility Bill,Email
V0000238,L0000238,C000338,Verified,2026-05-21,Driving Licence,API
V0000239,L0000239,C000340,Verified,2025-08-08,BRP,Email
V0000240,L0000240,C000341,Verified,2025-12-31,BRP,API
V0000241,L0000241,C000342,Manual Review,2026-05-04,Utility Bill,API
V0000242,L0000242,C000343,Verified,2026-04-10,BRP,API
V0000243,L0000243,C000344,Verified,2025-04-09,Passport,Manual
V0000244,L0000244,C000345,Manual Review,2025-02-12,Passport,Manual
V0000245,L0000245,C000346,Verified,2026-03-28,Driving Licence,Email
V0000246,L0000246,C000347,Verified,2026-01-07,Passport,API
V0000247,L0000247,C000348,Verified,2025-11-16,Driving Licence,API
V0000248,L0000248,C000350,Verified,2025-10-26,Utility Bill,API
V0000249,L0000249,C000352,Verified,2025-01-16,BRP,Email
V0000250,L0000250,C000353,Verified,2025-12-27,BRP,Email
V0000251,L0000251,C000356,Verified,2026-02-14,Utility Bill,Email
V0000252,L0000252,C000357,Manual Review,2025-02-04,BRP,Manual
V0000253,L0000253,C000358,Verified,2026-06-03,Driving Licence,Manual
V0000254,L0000254,C000359,Verified,2025-06-02,Utility Bill,Email
V0000255,L0000255,C000360,Verified,2025-05-18,Utility Bill,API
V0000256,L0000256,C000361,Verified,2025-02-02,Passport,Manual
V0000257,L0000257,C000363,Verified,2025-05-22,Utility Bill,Manual
V0000258,L0000258,C000364,Verified,2026-02-21,Passport,Manual
V0000259,L0000259,C000365,Manual Review,2025-07-12,Driving Licence,Manual
V0000260,L0000260,C000369,Verified,2026-01-12,Utility Bill,API
V0000261,L0000261,C000371,Verified,2026-04-29,BRP,API
V0000262,L0000262,C000372,Verified,2025-02-05,Passport,Email
V0000263,L0000263,C000373,Verified,2025-08-08,Driving Licence,API
V0000264,L0000264,C000374,Verified,2025-12-10,Driving Licence,API
V0000265,L0000265,C000376,Verified,2025-12-04,Driving Licence,API
V0000266,L0000266,C000378,Manual Review,2026-03-26,Passport,Manual
V0000267,L0000267,C000380,Verified,2025-06-28,Passport,API
V0000268,L0000268,C000381,Verified,2026-01-19,Driving Licence,Manual
V0000269,L0000269,C000382,Verified,2026-02-05,BRP,API
V0000270,L0000270,C000383,Verified,2025-09-17,BRP,Email
V0000271,L0000271,C000385,Verified,2026-01-15,Passport,API
V0000272,L0000272,C000386,Verified,2025-02-17,BRP,API
V0000273,L0000273,C000387,Verified,2025-08-25,Passport,API
V0000274,L0000274,C000388,Verified,2025-05-11,Passport,Manual
V0000275,L0000275,C000389,Verified,2025-03-18,BRP,Email
V0000276,L0000276,C000390,Verified,2025-10-21,Driving Licence,Email
V0000277,L0000277,C000391,Failed,2026-01-25,Driving Licence,Email
V0000278,L0000278,C000392,Verified,2026-02-22,Driving Licence,Manual
V0000279,L0000279,C000393,Verified,2026-06-01,Passport,Email
V0000280,L0000280,C000394,Verified,2025-07-05,BRP,Manual
V0000281,L0000281,C000395,Verified,2026-05-27,Driving Licence,Email
V0000282,L0000282,C000396,Verified,2025-11-14,BRP,Email
V0000283,L0000283,C000397,Verified,2025-06-28,BRP,API
V0000284,L0000284,C000399,Verified,2026-03-23,Utility Bill,Manual
V0000285,L0000285,C000400,Verified,2026-01-24,Utility Bill,API
V0000286,L0000286,C000401,Verified,2025-11-21,Passport,API
V0000287,L0000287,C000402,Verified,2025-01-18,Passport,Manual
V0000288,L0000288,C000403,Verified,2025-03-24,Utility Bill,Email
V0000289,L0000289,C000404,Verified,2025-12-24,BRP,Manual
V0000290,L0000290,C000405,Verified,2026-04-21,Driving Licence,API
V0000291,L0000291,C000406,Manual Review,2026-03-02,Driving Licence,Email
V0000292,L0000292,C000407,Verified,2026-05-04,Utility Bill,API
V0000293,L0000293,C000409,Verified,2026-04-30,Utility Bill,API
V0000294,L0000294,C000410,Verified,2026-02-07,Passport,Email
V0000295,L0000295,C000411,Manual Review,2026-02-12,Driving Licence,Manual
V0000296,L0000296,C000412,Verified,2026-02-16,Utility Bill,Manual
V0000297,L0000297,C000413,Verified,2025-08-10,BRP,Manual
V0000298,L0000298,C000414,Verified,2025-11-26,BRP,Email
V0000299,L0000299,C000416,Verified,2025-02-07,Passport,Manual
V0000300,L0000300,C000417,Verified,2026-01-22,Utility Bill,API
V0000301,L0000301,C000419,Verified,2025-01-19,BRP,API
V0000302,L0000302,C000420,Verified,2025-01-30,Passport,API
V0000303,L0000303,C000421,Verified,2026-03-23,Driving Licence,Email
V0000304,L0000304,C000422,Verified,2025-04-25,Passport,Manual
V0000305,L0000305,C000423,Verified,2025-01-07,BRP,Manual
V0000306,L0000306,C000426,Verified,2025-08-02,Passport,Email
V0000307,L0000307,C000427,Verified,2026-06-07,Passport,Manual
V0000308,L0000308,C000428,Verified,2025-06-24,Driving Licence,Email
V0000309,L0000309,C000429,Verified,2026-02-12,Driving Licence,Manual
V0000310,L0000310,C000430,Verified,2026-02-09,Passport,Manual
V0000311,L0000311,C000431,Manual Review,2025-04-19,Passport,API
V0000312,L0000312,C000434,Verified,2025-04-11,Utility Bill,Manual
V0000313,L0000313,C000435,Verified,2025-07-06,Driving Licence,Manual
V0000314,L0000314,C000437,Verified,2026-03-14,Driving Licence,Email
V0000315,L0000315,C000438,Verified,2025-04-05,Driving Licence,Manual
V0000316,L0000316,C000440,Verified,2026-05-04,Passport,Manual
V0000317,L0000317,C000441,Verified,2025-04-21,BRP,Email
V0000318,L0000318,C000442,Manual Review,2025-10-27,Utility Bill,Email
V0000319,L0000319,C000443,Verified,2025-03-18,Driving Licence,Manual
V0000320,L0000320,C000444,Manual Review,2026-03-13,Passport,Email
V0000321,L0000321,C000445,Verified,2025-12-02,Utility Bill,API
V0000322,L0000322,C000449,Verified,2025-10-27,BRP,Manual
V0000323,L0000323,C000451,Verified,2025-03-28,Utility Bill,Manual
V0000324,L0000324,C000452,Verified,2025-01-24,Passport,Email
V0000325,L0000325,C000453,Failed,2025-12-05,Passport,API
V0000326,L0000326,C000454,Manual Review,2025-05-11,BRP,API
V0000327,L0000327,C000455,Verified,2025-07-08,BRP,API
V0000328,L0000328,C000456,Verified,2025-12-11,BRP,Manual
V0000329,L0000329,C000457,Verified,2026-01-26,Driving Licence,Email
V0000330,L0000330,C000458,Verified,2025-03-26,Utility Bill,Email
V0000331,L0000331,C000459,Verified,2025-11-06,Driving Licence,API
V0000332,L0000332,C000460,Verified,2025-03-02,Utility Bill,Email
V0000333,L0000333,C000461,Verified,2026-02-27,Utility Bill,Email
V0000334,L0000334,C000463,Failed,2026-04-16,Utility Bill,Manual
V0000335,L0000335,C000464,Verified,2026-01-16,Driving Licence,Email
V0000336,L0000336,C000465,Verified,2025-09-16,Passport,API
V0000337,L0000337,C000466,Verified,2026-06-05,BRP,API
V0000338,L0000338,C000467,Manual Review,2026-03-06,Passport,API
V0000339,L0000339,C000468,Verified,2025-01-31,BRP,API
V0000340,L0000340,C000470,Verified,2025-06-17,Utility Bill,Manual
V0000341,L0000341,C000471,Verified,2026-05-12,Utility Bill,Email
V0000342,L0000342,C000472,Manual Review,2026-03-16,Passport,Email
V0000343,L0000343,C000473,Verified,2026-03-11,Passport,Email
V0000344,L0000344,C000474,Verified,2026-05-26,Passport,Email
V0000345,L0000345,C000476,Verified,2026-04-25,Utility Bill,Manual
V0000346,L0000346,C000479,Verified,2025-05-06,Driving Licence,Manual
V0000347,L0000347,C000480,Verified,2025-05-01,Driving Licence,API
V0000348,L0000348,C000482,Verified,2025-04-15,Driving Licence,Manual
V0000349,L0000349,C000483,Verified,2025-04-26,Utility Bill,Email
V0000350,L0000350,C000485,Verified,2025-10-31,Utility Bill,Manual
V0000351,L0000351,C000486,Manual Review,2025-08-25,Passport,Manual
V0000352,L0000352,C000487,Manual Review,2025-05-24,Passport,Manual
V0000353,L0000353,C000488,Verified,2025-01-31,BRP,API
V0000354,L0000354,C000490,Verified,2026-05-18,BRP,Email
V0000355,L0000355,C000491,Manual Review,2025-02-11,BRP,API
V0000356,L0000356,C000492,Verified,2026-03-17,Driving Licence,Manual
V0000357,L0000357,C000493,Manual Review,2026-01-08,Passport,API
V0000358,L0000358,C000494,Verified,2025-03-02,BRP,Manual
V0000359,L0000359,C000495,Verified,2025-05-19,BRP,API
V0000360,L0000360,C000496,Verified,2025-11-23,Utility Bill,API
V0000361,L0000361,C000497,Verified,2025-11-03,Driving Licence,Email
V0000362,L0000362,C000498,Verified,2025-10-25,BRP,Email
V0000363,L0000363,C000501,Verified,2025-11-04,BRP,API
V0000364,L0000364,C000502,Verified,2026-04-20,BRP,Manual
V0000365,L0000365,C000504,Verified,2025-10-18,Passport,Email
V0000366,L0000366,C000507,Verified,2025-12-17,BRP,API
V0000367,L0000367,C000508,Verified,2026-02-03,Utility Bill,API
V0000368,L0000368,C000509,Verified,2025-01-18,Utility Bill,API
V0000369,L0000369,C000510,Verified,2025-12-26,Driving Licence,Email
V0000370,L0000370,C000511,Manual Review,2026-01-30,BRP,Manual
V0000371,L0000371,C000513,Verified,2025-03-27,Passport,Manual
V0000372,L0000372,C000514,Verified,2025-05-03,Utility Bill,Email
V0000373,L0000373,C000516,Failed,2025-09-26,BRP,Manual
V0000374,L0000374,C000518,Verified,2025-03-21,Driving Licence,Email
V0000375,L0000375,C000520,Failed,2025-04-07,Driving Licence,API
V0000376,L0000376,C000523,Verified,2026-04-24,Utility Bill,API
V0000377,L0000377,C000525,Verified,2026-03-10,Utility Bill,API
V0000378,L0000378,C000526,Verified,2025-06-10,Utility Bill,Email
V0000379,L0000379,C000527,Verified,2025-05-17,Utility Bill,Manual
V0000380,L0000380,C000528,Manual Review,2026-01-30,BRP,Email
V0000381,L0000381,C000529,Verified,2025-03-10,Passport,API
V0000382,L0000382,C000530,Verified,2025-07-07,Driving Licence,Email
V0000383,L0000383,C000531,Verified,2025-12-27,Passport,Email
V0000384,L0000384,C000532,Manual Review,2026-03-04,Utility Bill,Manual
V0000385,L0000385,C000533,Verified,2025-12-30,Driving Licence,Manual
V0000386,L0000386,C000534,Verified,2026-01-28,Driving Licence,Email
V0000387,L0000387,C000535,Verified,2026-05-12,Driving Licence,API
V0000388,L0000388,C000536,Failed,2025-07-12,BRP,API
V0000389,L0000389,C000538,Verified,2025-05-23,BRP,Email
V0000390,L0000390,C000539,Verified,2026-05-13,Utility Bill,API
V0000391,L0000391,C000540,Verified,2026-03-16,Passport,Email
V0000392,L0000392,C000543,Verified,2026-03-18,Driving Licence,Email
V0000393,L0000393,C000544,Verified,2025-06-02,Utility Bill,API
V0000394,L0000394,C000545,Verified,2025-07-24,Utility Bill,API
V0000395,L0000395,C000546,Manual Review,2025-11-26,Utility Bill,Manual
V0000396,L0000396,C000547,Verified,2026-05-08,BRP,Manual
V0000397,L0000397,C000548,Verified,2025-07-08,Driving Licence,Manual
V0000398,L0000398,C000549,Verified,2025-12-19,Passport,API
V0000399,L0000399,C000550,Verified,2025-09-03,Passport,Email
V0000400,L0000400,C000551,Verified,2026-01-02,Utility Bill,Email
V0000401,L0000401,C000552,Manual Review,2025-05-15,Driving Licence,Email
V0000402,L0000402,C000553,Verified,2025-09-20,Utility Bill,Email
V0000403,L0000403,C000554,Verified,2026-02-22,Driving Licence,API
V0000404,L0000404,C000555,Verified,2025-03-01,Driving Licence,Manual
V0000405,L0000405,C000556,Verified,2026-03-13,Utility Bill,API
V0000406,L0000406,C000557,Verified,2025-12-08,Passport,API
V0000407,L0000407,C000558,Verified,2025-01-16,Passport,Email
V0000408,L0000408,C000563,Manual Review,2025-05-24,Passport,API
V0000409,L0000409,C000566,Verified,2025-06-14,Utility Bill,Email
V0000410,L0000410,C000569,Verified,2026-05-29,Passport,Manual
