ExceptionID,LoanID,Category,Priority,Status,CreatedDate,OwnerTeam,AgeDays
E0000134,L0000073,Missed Payment,Low,In Progress,2026-02-02,Finance Ops,4
E0000135,L0000073,Missed Payment,High,In Progress,2026-12-29,Loan Ops,1
E0000136,L0000074,Payment Mismatch,High,Resolved,2026-11-12,Collections,2
E0000137,L0000074,Missed Payment,Low,In Progress,2027-03-09,Finance Ops,4
E0000138,L0000075,KYC Failure,High,Resolved,2026-05-19,Compliance,1
E0000139,L0000076,Payment Mismatch,Low,Open,2026-04-05,Loan Ops,5
E0000140,L0000079,Payment Mismatch,High,Retest,2027-04-10,Loan Ops,4
E0000141,L0000082,Missed Payment,Low,In Progress,2025-02-19,Finance Ops,5
E0000142,L0000083,Missed Payment,Medium,In Progress,2025-06-26,Collections,5
E0000143,L0000084,Payment Mismatch,Medium,In Progress,2026-02-21,Finance Ops,5
E0000144,L0000084,Payment Mismatch,High,Resolved,2026-04-17,Finance Ops,6
E0000145,L0000086,Missed Payment,High,Open,2026-02-20,Finance Ops,2
E0000146,L0000086,KYC Failure,High,Manual Review,2025-01-20,Compliance,1
E0000147,L0000088,Payment Mismatch,Medium,Resolved,2026-07-22,Collections,6
E0000148,L0000089,Payment Mismatch,Low,Open,2025-10-13,Collections,4
E0000149,L0000089,Missed Payment,Low,In Progress,2026-02-11,Loan Ops,7
E0000150,L0000094,Payment Mismatch,Low,Retest,2026-10-14,Finance Ops,1
E0000151,L0000095,Payment Mismatch,Low,In Progress,2025-12-13,Loan Ops,7
E0000152,L0000095,KYC Failure,High,Open,2025-11-08,Compliance,2
E0000153,L0000096,Missed Payment,Low,Retest,2026-09-05,Loan Ops,3
E0000154,L0000097,Missed Payment,High,Open,2026-06-29,Collections,2
E0000155,L0000097,Payment Mismatch,High,In Progress,2026-07-26,Loan Ops,4
E0000156,L0000097,Missed Payment,Low,Resolved,2027-01-28,Loan Ops,5
E0000157,L0000098,Payment Mismatch,Low,Retest,2026-05-31,Collections,4
E0000158,L0000099,Missed Payment,High,Resolved,2025-11-17,Finance Ops,3
E0000159,L0000099,Payment Mismatch,Medium,Retest,2025-12-14,Finance Ops,6
E0000160,L0000099,Missed Payment,High,Open,2026-07-19,Loan Ops,6
E0000161,L0000099,Payment Mismatch,Low,Open,2026-11-11,Collections,4
E0000162,L0000099,KYC Failure,High,Resolved,2025-09-15,Compliance,1
E0000163,L0000101,Payment Mismatch,Low,In Progress,2026-03-11,Loan Ops,7
E0000164,L0000102,Payment Mismatch,Low,In Progress,2026-11-19,Loan Ops,2
E0000165,L0000103,Payment Mismatch,Medium,Open,2025-12-11,Loan Ops,2
E0000166,L0000103,Payment Mismatch,Medium,Open,2026-02-09,Finance Ops,2
E0000167,L0000105,Payment Mismatch,Medium,Resolved,2026-11-26,Finance Ops,3
E0000168,L0000105,Missed Payment,Medium,Resolved,2026-12-25,Finance Ops,3
E0000169,L0000105,KYC Failure,High,Resolved,2025-11-25,Compliance,1
E0000170,L0000106,Missed Payment,Low,Retest,2026-12-27,Finance Ops,7
E0000171,L0000106,Payment Mismatch,High,Open,2027-03-26,Finance Ops,6
E0000172,L0000109,Payment Mismatch,High,Resolved,2025-08-06,Finance Ops,2
E0000173,L0000109,Payment Mismatch,Medium,Open,2025-12-04,Loan Ops,7
E0000174,L0000109,KYC Failure,High,Resolved,2025-02-04,Compliance,5
E0000175,L0000110,Payment Mismatch,High,Resolved,2025-09-06,Finance Ops,2
E0000176,L0000111,Missed Payment,Low,Resolved,2025-06-07,Finance Ops,6
E0000177,L0000112,Missed Payment,Low,In Progress,2025-07-31,Collections,1
E0000178,L0000113,Payment Mismatch,Low,Open,2026-03-09,Collections,4
E0000179,L0000113,Payment Mismatch,Medium,Resolved,2026-03-30,Loan Ops,6
E0000180,L0000115,Missed Payment,Medium,In Progress,2026-07-16,Collections,3
E0000181,L0000115,Payment Mismatch,Medium,Open,2026-08-23,Loan Ops,7
E0000182,L0000115,Missed Payment,High,Open,2026-12-09,Finance Ops,4
E0000183,L0000115,Payment Mismatch,Medium,Open,2027-03-10,Loan Ops,2
E0000184,L0000116,Missed Payment,Low,Retest,2025-11-08,Finance Ops,3
E0000185,L0000116,Missed Payment,Medium,Resolved,2025-12-04,Collections,5
E0000186,L0000117,Payment Mismatch,Medium,In Progress,2025-09-05,Loan Ops,4
E0000187,L0000118,Payment Mismatch,Medium,Open,2026-10-01,Collections,7
E0000188,L0000119,KYC Failure,High,Manual Review,2025-06-24,Compliance,3
E0000189,L0000120,Missed Payment,High,Resolved,2025-11-15,Loan Ops,6
E0000190,L0000120,Payment Mismatch,Medium,Open,2025-12-22,Collections,6
E0000191,L0000121,Payment Mismatch,Medium,Open,2025-03-08,Collections,4
E0000192,L0000121,Payment Mismatch,High,In Progress,2025-04-12,Loan Ops,7
E0000193,L0000122,Payment Mismatch,High,Resolved,2026-01-16,Finance Ops,1
E0000194,L0000124,Payment Mismatch,Medium,Resolved,2025-08-17,Finance Ops,6
E0000195,L0000124,Payment Mismatch,Low,In Progress,2025-10-26,Finance Ops,7
E0000196,L0000125,Missed Payment,Medium,Resolved,2026-01-04,Loan Ops,1
E0000197,L0000125,Payment Mismatch,Medium,Resolved,2026-04-05,Loan Ops,6
E0000198,L0000125,Missed Payment,High,Resolved,2026-07-07,Finance Ops,5
E0000199,L0000126,KYC Failure,High,Resolved,2025-03-09,Compliance,1
E0000200,L0000127,Payment Mismatch,Low,In Progress,2025-06-07,Loan Ops,3
E0000201,L0000128,Payment Mismatch,Low,In Progress,2026-06-08,Loan Ops,3
E0000202,L0000128,Missed Payment,Low,Retest,2026-07-10,Collections,1
E0000203,L0000129,KYC Failure,High,Open,2026-02-10,Compliance,3
E0000204,L0000130,Payment Mismatch,High,In Progress,2025-05-25,Collections,2
E0000205,L0000131,Payment Mismatch,Medium,Resolved,2025-12-15,Loan Ops,1
E0000206,L0000131,Payment Mismatch,High,Resolved,2026-06-02,Finance Ops,6
E0000207,L0000131,Missed Payment,Low,Retest,2026-07-03,Collections,5
E0000208,L0000131,Payment Mismatch,High,Retest,2026-11-10,Finance Ops,2
E0000209,L0000131,Payment Mismatch,High,Open,2026-12-02,Finance Ops,1
E0000210,L0000132,Missed Payment,Medium,Resolved,2025-05-13,Finance Ops,3
E0000211,L0000133,Missed Payment,Low,Retest,2025-06-23,Collections,6
E0000212,L0000134,Missed Payment,Medium,Resolved,2026-07-11,Finance Ops,3
E0000213,L0000134,Payment Mismatch,Medium,In Progress,2026-11-14,Loan Ops,3
E0000214,L0000134,Missed Payment,Medium,Retest,2026-12-08,Collections,6
E0000215,L0000135,Missed Payment,Low,Retest,2026-01-24,Finance Ops,2
E0000216,L0000136,Missed Payment,Low,Open,2025-08-06,Loan Ops,1
E0000217,L0000136,Missed Payment,Medium,In Progress,2026-01-01,Loan Ops,2
E0000218,L0000137,Payment Mismatch,High,Open,2025-09-08,Loan Ops,2
E0000219,L0000137,Payment Mismatch,Low,Resolved,2026-05-29,Collections,1
E0000220,L0000138,Payment Mismatch,High,Resolved,2026-01-10,Collections,2
E0000221,L0000138,Payment Mismatch,Medium,In Progress,2026-03-11,Finance Ops,6
E0000222,L0000138,Payment Mismatch,Low,Open,2026-11-14,Collections,4
E0000223,L0000138,Payment Mismatch,High,Resolved,2026-12-03,Loan Ops,4
E0000224,L0000139,Missed Payment,Low,Resolved,2027-04-23,Loan Ops,1
E0000225,L0000139,Missed Payment,High,Open,2027-07-17,Loan Ops,1
E0000226,L0000141,Payment Mismatch,Medium,In Progress,2026-02-02,Finance Ops,1
E0000227,L0000142,Payment Mismatch,Medium,In Progress,2026-11-18,Collections,3
E0000228,L0000142,Missed Payment,Low,Resolved,2027-08-27,Finance Ops,2
E0000229,L0000144,Payment Mismatch,Low,In Progress,2026-09-01,Loan Ops,5
E0000230,L0000145,Missed Payment,Medium,Resolved,2026-07-11,Loan Ops,5
E0000231,L0000145,Payment Mismatch,Low,Resolved,2026-12-13,Finance Ops,7
E0000232,L0000146,Missed Payment,Medium,Resolved,2025-12-26,Finance Ops,6
E0000233,L0000146,Missed Payment,High,Open,2026-03-28,Collections,5
E0000234,L0000147,KYC Failure,High,Open,2025-07-04,Compliance,4
E0000235,L0000148,Missed Payment,High,Resolved,2025-11-04,Collections,4
E0000236,L0000150,Missed Payment,Medium,Resolved,2026-01-12,Loan Ops,7
E0000237,L0000151,Payment Mismatch,Medium,Open,2025-06-24,Collections,4
E0000238,L0000152,Payment Mismatch,Medium,Resolved,2025-08-10,Finance Ops,6
E0000239,L0000152,KYC Failure,High,Open,2025-05-28,Compliance,1
E0000240,L0000153,Missed Payment,High,In Progress,2026-05-27,Loan Ops,4
E0000241,L0000154,Payment Mismatch,Medium,Retest,2025-10-02,Collections,7
E0000242,L0000154,Payment Mismatch,Low,In Progress,2025-11-30,Loan Ops,3
E0000243,L0000154,Payment Mismatch,Low,Open,2026-06-27,Loan Ops,1
E0000244,L0000155,Payment Mismatch,High,Retest,2026-01-16,Finance Ops,1
E0000245,L0000155,Missed Payment,High,Retest,2026-02-22,Collections,7
E0000246,L0000155,Missed Payment,High,Open,2026-04-16,Finance Ops,1
E0000247,L0000156,Payment Mismatch,Medium,Open,2025-08-07,Collections,6
E0000248,L0000156,Missed Payment,Low,Retest,2026-01-03,Finance Ops,4
E0000249,L0000156,Missed Payment,High,Retest,2026-01-31,Collections,5
E0000250,L0000156,Missed Payment,Medium,Retest,2026-05-08,Loan Ops,3
E0000251,L0000157,Missed Payment,Low,Open,2026-03-13,Collections,5
E0000252,L0000160,Missed Payment,Medium,Retest,2027-06-06,Finance Ops,7
E0000253,L0000161,Payment Mismatch,Low,Open,2026-06-28,Collections,3
E0000254,L0000162,Missed Payment,Medium,In Progress,2025-06-25,Collections,3
E0000255,L0000162,Payment Mismatch,Medium,Retest,2025-08-24,Collections,3
E0000256,L0000162,Payment Mismatch,Low,Resolved,2025-11-24,Finance Ops,6
E0000257,L0000163,Payment Mismatch,High,Resolved,2026-06-30,Collections,4
E0000258,L0000163,Payment Mismatch,Medium,Open,2026-10-24,Collections,4
E0000259,L0000164,Payment Mismatch,Medium,Open,2026-08-05,Finance Ops,2
E0000260,L0000165,Payment Mismatch,High,Retest,2026-05-17,Loan Ops,5
E0000261,L0000167,Missed Payment,High,Resolved,2026-03-05,Loan Ops,4
E0000262,L0000167,Payment Mismatch,High,Open,2026-03-26,Finance Ops,7
E0000263,L0000169,Missed Payment,Medium,Retest,2025-11-08,Collections,5
E0000264,L0000170,Payment Mismatch,Medium,Retest,2025-10-28,Loan Ops,4
E0000265,L0000170,Payment Mismatch,Medium,Open,2025-11-28,Finance Ops,2
E0000266,L0000170,Missed Payment,Medium,Resolved,2026-01-02,Finance Ops,3
E0000267,L0000170,Payment Mismatch,Medium,Open,2026-01-28,Loan Ops,3
E0000268,L0000171,Missed Payment,Medium,Resolved,2026-06-06,Loan Ops,6
E0000269,L0000173,Payment Mismatch,High,Retest,2025-11-22,Collections,3
E0000270,L0000174,Missed Payment,Low,Resolved,2026-01-07,Collections,6
E0000271,L0000174,Missed Payment,Low,Open,2026-05-09,Collections,1
E0000272,L0000174,Payment Mismatch,Medium,Open,2026-08-07,Collections,2
E0000273,L0000174,Payment Mismatch,Medium,In Progress,2026-09-06,Collections,4
E0000274,L0000175,Payment Mismatch,High,Open,2025-07-09,Finance Ops,7
E0000275,L0000175,Payment Mismatch,Medium,Open,2025-08-09,Collections,5
E0000276,L0000177,Missed Payment,Low,In Progress,2025-06-10,Finance Ops,7
E0000277,L0000177,Payment Mismatch,High,In Progress,2025-09-09,Finance Ops,5
E0000278,L0000177,Payment Mismatch,Medium,Open,2025-11-07,Finance Ops,6
E0000279,L0000178,Payment Mismatch,Low,In Progress,2025-11-04,Collections,7
E0000280,L0000179,Missed Payment,Medium,Retest,2025-03-15,Finance Ops,5
E0000281,L0000179,Missed Payment,Low,Resolved,2025-04-26,Loan Ops,6
E0000282,L0000179,Missed Payment,Medium,Resolved,2025-09-12,Finance Ops,5
E0000283,L0000180,Missed Payment,Medium,Open,2025-06-29,Finance Ops,2
E0000284,L0000180,Missed Payment,High,Resolved,2025-08-16,Finance Ops,1
E0000285,L0000181,Missed Payment,Medium,Retest,2026-09-09,Collections,3
E0000286,L0000183,Missed Payment,Low,Open,2025-09-21,Collections,1
E0000287,L0000183,Payment Mismatch,Medium,Open,2025-10-20,Finance Ops,5
E0000288,L0000183,Payment Mismatch,Low,Resolved,2026-03-23,Loan Ops,6
E0000289,L0000184,Missed Payment,Low,Open,2026-03-21,Finance Ops,4
E0000290,L0000184,Missed Payment,High,Open,2026-07-23,Collections,2
E0000291,L0000186,Payment Mismatch,Low,Open,2025-07-04,Loan Ops,4
E0000292,L0000186,Missed Payment,Medium,Open,2025-08-03,Loan Ops,1
E0000293,L0000187,Missed Payment,Medium,Open,2025-09-12,Collections,1
E0000294,L0000188,Missed Payment,Medium,In Progress,2026-06-18,Collections,2
E0000295,L0000188,Payment Mismatch,High,Retest,2026-07-18,Collections,2
E0000296,L0000190,Missed Payment,High,Open,2026-03-09,Finance Ops,5
E0000297,L0000190,Payment Mismatch,Low,In Progress,2026-08-10,Finance Ops,6
E0000298,L0000190,Payment Mismatch,Medium,Retest,2026-11-01,Finance Ops,1
E0000299,L0000190,Missed Payment,Low,Open,2026-12-03,Finance Ops,7
E0000300,L0000190,KYC Failure,High,Manual Review,2026-01-03,Compliance,2
E0000301,L0000191,Missed Payment,Medium,In Progress,2025-12-18,Finance Ops,6
E0000302,L0000191,Payment Mismatch,Low,Resolved,2026-01-15,Finance Ops,2
E0000303,L0000192,Payment Mismatch,Medium,Retest,2026-10-21,Finance Ops,7
E0000304,L0000193,Missed Payment,Low,Open,2026-06-12,Loan Ops,2
E0000305,L0000195,Payment Mismatch,High,Open,2026-03-25,Loan Ops,2
E0000306,L0000195,Payment Mismatch,High,Resolved,2026-12-12,Loan Ops,5
E0000307,L0000196,Payment Mismatch,High,Resolved,2026-10-26,Collections,7
E0000308,L0000197,Missed Payment,Medium,Resolved,2025-04-26,Loan Ops,1
E0000309,L0000197,Payment Mismatch,Medium,Resolved,2025-05-30,Loan Ops,2
E0000310,L0000197,Missed Payment,Medium,In Progress,2025-06-29,Loan Ops,2
E0000311,L0000199,Payment Mismatch,High,Retest,2026-04-24,Collections,3
E0000312,L0000200,Payment Mismatch,Medium,In Progress,2026-12-06,Loan Ops,3
E0000313,L0000201,Missed Payment,Low,Retest,2025-08-25,Collections,4
E0000314,L0000201,Payment Mismatch,High,Resolved,2026-03-23,Collections,1
E0000315,L0000201,Payment Mismatch,Low,Retest,2026-10-31,Finance Ops,5
E0000316,L0000201,KYC Failure,High,Resolved,2025-07-25,Compliance,3
E0000317,L0000203,Missed Payment,High,In Progress,2026-06-24,Collections,4
E0000318,L0000203,Payment Mismatch,High,Retest,2026-07-27,Finance Ops,6
E0000319,L0000203,Payment Mismatch,Medium,In Progress,2026-11-23,Collections,5
E0000320,L0000204,KYC Failure,High,Manual Review,2025-09-30,Compliance,1
E0000321,L0000205,Missed Payment,Medium,Retest,2025-05-26,Loan Ops,3
E0000322,L0000205,Payment Mismatch,High,In Progress,2026-05-21,Finance Ops,1
E0000323,L0000208,Payment Mismatch,High,Open,2026-02-20,Collections,5
E0000324,L0000208,KYC Failure,High,Manual Review,2025-11-17,Compliance,3
E0000325,L0000209,Payment Mismatch,Low,Resolved,2025-10-08,Collections,2
E0000326,L0000209,Payment Mismatch,Medium,In Progress,2025-12-10,Loan Ops,2
E0000327,L0000209,Missed Payment,High,Open,2026-05-09,Collections,1
E0000328,L0000209,Missed Payment,Low,Resolved,2026-06-08,Finance Ops,2
E0000329,L0000210,Payment Mismatch,Low,Open,2026-01-02,Finance Ops,5
E0000330,L0000210,Payment Mismatch,Medium,Retest,2026-04-24,Loan Ops,5
E0000331,L0000212,Missed Payment,Medium,In Progress,2025-08-28,Loan Ops,5
E0000332,L0000212,Payment Mismatch,High,Resolved,2026-03-23,Collections,1
E0000333,L0000217,Payment Mismatch,Low,Resolved,2025-05-28,Collections,3
E0000334,L0000217,Missed Payment,Low,Resolved,2025-12-29,Collections,7
E0000335,L0000218,Missed Payment,Low,Resolved,2026-04-14,Finance Ops,5
E0000336,L0000218,Payment Mismatch,High,Open,2026-10-16,Collections,5
E0000337,L0000219,Payment Mismatch,Medium,Open,2025-06-25,Finance Ops,7
E0000338,L0000220,Missed Payment,High,Retest,2025-03-25,Loan Ops,1
E0000339,L0000221,Payment Mismatch,Low,Resolved,2026-06-04,Loan Ops,5
E0000340,L0000221,Missed Payment,Medium,Resolved,2026-06-30,Finance Ops,5
E0000341,L0000221,Payment Mismatch,Low,Retest,2026-08-30,Collections,1
E0000342,L0000221,Missed Payment,High,Open,2026-09-26,Finance Ops,2
E0000343,L0000221,Payment Mismatch,High,In Progress,2026-12-31,Loan Ops,7
E0000344,L0000223,Missed Payment,High,In Progress,2025-09-20,Finance Ops,6
